/content/drive/MyDrive/csvdata/detail_record_2017_01_04_08_00_00,shenxian1000004,华ADJ750,2017-01-03 18:04:16,18,3.0,6.0,4.0,4.0,41.0,31.0,31.0,265.0,24.0,4.0,8.0
/content/drive/MyDrive/csvdata/detail_record_2017_01_04_08_00_00,xiezhi1000006,华A6CU11,2017-01-04 03:01:21,3,4.0,5.0,2.0,2.0,18.0,40.0,40.0,517.0,49.0,1.0,3.0
/content/drive/MyDrive/csvdata/detail_record_2017_01_04_08_00_00,duxu1000009,华AT75H8,2017-01-04 00:00:35,0,4.0,7.0,3.0,3.0,85.0,26.0,25.0,245.0,39.0,3.0,5.0
/content/drive/MyDrive/csvdata/detail_record_2017_01_04_08_00_00,shenxian1000004,华ADJ750,2017-01-03 16:00:31,16,2.0,6.0,5.0,5.0,53.0,37.0,37.0,183.0,42.0,3.0,11.0
/content/drive/MyDrive/csvdata/detail_record_2017_01_04_08_00_00,likun1000003,华AVM936,2017-01-04 07:00:38,7,2.0,1.0,2.0,2.0,2.0,28.0,29.0,329.0,29.0,3.0,2.0
/content/drive/MyDrive/csvdata/detail_record_2017_01_04_08_00_00,xiezhi1000006,华A6CU11,2017-01-03 20:00:15,20,5.0,5.0,2.0,2.0,0.0,29.0,29.0,235.0,33.0,5.0,3.0
/content/drive/MyDrive/csvdata/detail_record_2017_01_04_08_00_00,panxian1000005,华AX542C,2017-01-03 22:00:59,22,3.0,2.0,7.0,7.0,131.0,30.0,30.0,252.0,38.0,6.0,6.0
/content/drive/MyDrive/csvdata/detail_record_2017_01_04_08_00_00,shenxian1000004,华ADJ750,2017-01-04 03:00:10,3,3.0,6.0,4.0,4.0,11.0,41.0,41.0,469.0,42.0,4.0,2.0
/content/drive/MyDrive/csvdata/detail_record_2017_01_04_08_00_00,zouan1000007,华A58M83,2017-01-03 17:00:53,17,5.0,5.0,1.0,1.0,2.0,27.0,27.0,267.0,32.0,6.0,2.0
/content/drive/MyDrive/csvdata/detail_record_2017_01_04_08_00_00,shenxian1000004,华ADJ750,2017-01-03 23:02:15,23,3.0,2.0,3.0,3.0,22.0,43.0,43.0,549.0,47.0,8.0,7.0
